m=,50
n=,50
dx=,504.7113187538087,m
dy=,310.1360176192224,m
k,i,j,center_x_WebMercator,center_y_WebMercator,center_x_WGS84,center_y_WGS84
42,1,42,-9556221.68714857,4608184.397492036,-85.84499999999998,38.2032941461154
43,1,43,-9556221.68714857,4607874.261474417,-85.84499999999998,38.20110481554245
44,1,44,-9556221.68714857,4607564.125456798,-85.84499999999998,38.198915419133684
45,1,45,-9556221.68714857,4607253.989439178,-85.84499999999998,38.19672595689031
46,1,46,-9556221.68714857,4606943.85342156,-85.84499999999998,38.194536428813564
47,1,47,-9556221.68714857,4606633.71740394,-85.84499999999998,38.19234683490464
48,1,48,-9556221.68714857,4606323.581386321,-85.84499999999998,38.19015717516478
49,1,49,-9556221.68714857,4606013.445368702,-85.84499999999998,38.18796744959518
50,1,50,-9556221.68714857,4605703.309351083,-85.84499999999998,38.18577765819707
51,2,1,-9555716.975829815,4620899.974214424,-85.84046610108294,38.29300000000001
52,2,2,-9555716.975829815,4620589.838196805,-85.84046610108294,38.290813369738544
53,2,3,-9555716.975829815,4620279.702179186,-85.84046610108294,38.288626673591715
54,2,4,-9555716.975829815,4619969.566161566,-85.84046610108294,38.28643991156072
55,2,5,-9555716.975829815,4619659.430143948,-85.84046610108294,38.28425308364677
56,2,6,-9555716.975829815,4619349.294126328,-85.84046610108294,38.28206618985104
57,2,7,-9555716.975829815,4619039.158108709,-85.84046610108294,38.27987923017476
58,2,8,-9555716.975829815,4618729.02209109,-85.84046610108294,38.2776922046191
59,2,9,-9555716.975829815,4618418.886073471,-85.84046610108294,38.275505113185304
60,2,10,-9555716.975829815,4618108.750055851,-85.84046610108294,38.273317955874546
61,2,11,-9555716.975829815,4617798.614038232,-85.84046610108294,38.27113073268803
62,2,12,-9555716.975829815,4617488.478020613,-85.84046610108294,38.26894344362697
63,2,13,-9555716.975829815,4617178.342002993,-85.84046610108294,38.26675608869256
64,2,14,-9555716.975829815,4616868.205985375,-85.84046610108294,38.26456866788602
65,2,15,-9555716.975829815,4616558.069967755,-85.84046610108294,38.262381181208525
66,2,16,-9555716.975829815,4616247.933950136,-85.84046610108294,38.26019362866132
67,2,17,-9555716.975829815,4615937.797932517,-85.84046610108294,38.258006010245566
68,2,18,-9555716.975829815,4615627.661914897,-85.84046610108294,38.2558183259625
69,2,19,-9555716.975829815,4615317.525897278,-85.84046610108294,38.253630575813325
70,2,20,-9555716.975829815,4615007.389879659,-85.84046610108294,38.25144275979923
71,2,21,-9555716.975829815,4614697.25386204,-85.84046610108294,38.24925487792145
72,2,22,-9555716.975829815,4614387.1178444205,-85.84046610108294,38.24706693018117
73,2,23,-9555716.975829815,4614076.981826802,-85.84046610108294,38.2448789165796
74,2,24,-9555716.975829815,4613766.845809182,-85.84046610108294,38.24269083711796
75,2,25,-9555716.975829815,4613456.709791563,-85.84046610108294,38.24050269179746
76,2,26,-9555716.975829815,4613146.573773944,-85.84046610108294,38.23831448061929
