m=,100
n=,100
dx=,195.48826902559387,m
dy=,120.09052077612164,m
upper left=,"(-85.84612, 38.29354)"
lower right=,"(-85.61988000000001, 38.18446)"
k,i,j,center_x,center_y
184,2,84,-85.84276,38.20336
185,2,85,-85.84276,38.20228
186,2,86,-85.84276,38.2012
187,2,87,-85.84276,38.20012
188,2,88,-85.84276,38.199040000000004
189,2,89,-85.84276,38.19796
190,2,90,-85.84276,38.19688
191,2,91,-85.84276,38.195800000000006
192,2,92,-85.84276,38.194720000000004
193,2,93,-85.84276,38.19364
194,2,94,-85.84276,38.19256
195,2,95,-85.84276,38.19148
196,2,96,-85.84276,38.190400000000004
197,2,97,-85.84276,38.18932
198,2,98,-85.84276,38.18824
199,2,99,-85.84276,38.187160000000006
200,2,100,-85.84276,38.186080000000004
201,3,1,-85.84052,38.293
202,3,2,-85.84052,38.29192
203,3,3,-85.84052,38.29084
204,3,4,-85.84052,38.28976
205,3,5,-85.84052,38.28868
206,3,6,-85.84052,38.2876
207,3,7,-85.84052,38.286519999999996
208,3,8,-85.84052,38.28544
209,3,9,-85.84052,38.28436
210,3,10,-85.84052,38.28328
211,3,11,-85.84052,38.2822
212,3,12,-85.84052,38.28112
213,3,13,-85.84052,38.28004
214,3,14,-85.84052,38.27896
215,3,15,-85.84052,38.277879999999996
216,3,16,-85.84052,38.2768
217,3,17,-85.84052,38.27572
218,3,18,-85.84052,38.27464
219,3,19,-85.84052,38.27356
220,3,20,-85.84052,38.27248
221,3,21,-85.84052,38.2714
222,3,22,-85.84052,38.27032
223,3,23,-85.84052,38.269239999999996
224,3,24,-85.84052,38.26816
225,3,25,-85.84052,38.26708
226,3,26,-85.84052,38.266
227,3,27,-85.84052,38.264920000000004
228,3,28,-85.84052,38.26384
229,3,29,-85.84052,38.26276
230,3,30,-85.84052,38.26168
231,3,31,-85.84052,38.2606
232,3,32,-85.84052,38.25952
233,3,33,-85.84052,38.25844
234,3,34,-85.84052,38.25736
235,3,35,-85.84052,38.256280000000004
236,3,36,-85.84052,38.2552
237,3,37,-85.84052,38.25412
238,3,38,-85.84052,38.25304
239,3,39,-85.84052,38.25196
240,3,40,-85.84052,38.25088
241,3,41,-85.84052,38.2498
242,3,42,-85.84052,38.24872
243,3,43,-85.84052,38.247640000000004
244,3,44,-85.84052,38.24656
245,3,45,-85.84052,38.24548
246,3,46,-85.84052,38.2444
247,3,47,-85.84052,38.24332
248,3,48,-85.84052,38.24224
249,3,49,-85.84052,38.24116
250,3,50,-85.84052,38.24008
251,3,51,-85.84052,38.239000000000004
252,3,52,-85.84052,38.23792
253,3,53,-85.84052,38.23684
254,3,54,-85.84052,38.23576
255,3,55,-85.84052,38.23468
256,3,56,-85.84052,38.2336
257,3,57,-85.84052,38.23252
258,3,58,-85.84052,38.23144
259,3,59,-85.84052,38.230360000000005
260,3,60,-85.84052,38.22928
261,3,61,-85.84052,38.2282
262,3,62,-85.84052,38.22712
263,3,63,-85.84052,38.22604
264,3,64,-85.84052,38.22496
265,3,65,-85.84052,38.22388
266,3,66,-85.84052,38.2228
267,3,67,-85.84052,38.221720000000005
268,3,68,-85.84052,38.22064
269,3,69,-85.84052,38.21956
270,3,70,-85.84052,38.21848
271,3,71,-85.84052,38.2174
272,3,72,-85.84052,38.21632
273,3,73,-85.84052,38.21524
274,3,74,-85.84052,38.21416
275,3,75,-85.84052,38.213080000000005
276,3,76,-85.84052,38.212
277,3,77,-85.84052,38.21092
278,3,78,-85.84052,38.20984
279,3,79,-85.84052,38.20876
280,3,80,-85.84052,38.20768
281,3,81,-85.84052,38.2066
282,3,82,-85.84052,38.20552
283,3,83,-85.84052,38.204440000000005
284,3,84,-85.84052,38.20336
285,3,85,-85.84052,38.20228
286,3,86,-85.84052,38.2012
287,3,87,-85.84052,38.20012
288,3,88,-85.84052,38.199040000000004
289,3,89,-85.84052,38.19796
290,3,90,-85.84052,38.19688
291,3,91,-85.84052,38.195800000000006
292,3,92,-85.84052,38.194720000000004
293,3,93,-85.84052,38.19364
294,3,94,-85.84052,38.19256
295,3,95,-85.84052,38.19148
296,3,96,-85.84052,38.190400000000004
297,3,97,-85.84052,38.18932
298,3,98,-85.84052,38.18824
299,3,99,-85.84052,38.187160000000006
300,3,100,-85.84052,38.186080000000004
301,4,1,-85.83828,38.293
302,4,2,-85.83828,38.29192
303,4,3,-85.83828,38.29084
304,4,4,-85.83828,38.28976
305,4,5,-85.83828,38.28868
306,4,6,-85.83828,38.2876
307,4,7,-85.83828,38.286519999999996
308,4,8,-85.83828,38.28544
309,4,9,-85.83828,38.28436
310,4,10,-85.83828,38.28328
311,4,11,-85.83828,38.2822
312,4,12,-85.83828,38.28112
313,4,13,-85.83828,38.28004
314,4,14,-85.83828,38.27896
315,4,15,-85.83828,38.277879999999996
316,4,16,-85.83828,38.2768
317,4,17,-85.83828,38.27572
318,4,18,-85.83828,38.27464
319,4,19,-85.83828,38.27356
320,4,20,-85.83828,38.27248
321,4,21,-85.83828,38.2714
322,4,22,-85.83828,38.27032
323,4,23,-85.83828,38.269239999999996
324,4,24,-85.83828,38.26816
325,4,25,-85.83828,38.26708
326,4,26,-85.83828,38.266
327,4,27,-85.83828,38.264920000000004
328,4,28,-85.83828,38.26384
329,4,29,-85.83828,38.26276
330,4,30,-85.83828,38.26168
331,4,31,-85.83828,38.2606
332,4,32,-85.83828,38.25952
333,4,33,-85.83828,38.25844
334,4,34,-85.83828,38.25736
335,4,35,-85.83828,38.256280000000004
336,4,36,-85.83828,38.2552
337,4,37,-85.83828,38.25412
338,4,38,-85.83828,38.25304
339,4,39,-85.83828,38.25196
340,4,40,-85.83828,38.25088
341,4,41,-85.83828,38.2498
342,4,42,-85.83828,38.24872
343,4,43,-85.83828,38.247640000000004
344,4,44,-85.83828,38.24656
345,4,45,-85.83828,38.24548
